Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Sat, Apr 8, 2017",5:00 PM,Chicago Bulls,106,Brooklyn Nets,107,Box Score,,
"Sat, Apr 8, 2017",6:00 PM,Boston Celtics,121,Charlotte Hornets,114,Box Score,,
"Sat, Apr 8, 2017",10:30 PM,New Orleans Pelicans,101,Golden State Warriors,123,Box Score,,
"Sat, Apr 8, 2017",6:00 PM,Indiana Pacers,127,Orlando Magic,112,Box Score,,
"Sat, Apr 8, 2017",7:00 PM,Milwaukee Bucks,90,Philadelphia 76ers,82,Box Score,,
"Sat, Apr 8, 2017",10:00 PM,Utah Jazz,86,Portland Trail Blazers,101,Box Score,,
"Sat, Apr 8, 2017",8:30 PM,Los Angeles Clippers,98,San Antonio Spurs,87,Box Score,,
"Sat, Apr 8, 2017",7:00 PM,Miami Heat,106,Washington Wizards,103,Box Score,,
"Sun, Apr 9, 2017",3:30 PM,Cleveland Cavaliers,125,Atlanta Hawks,126,Box Score,OT,
"Sun, Apr 9, 2017",5:00 PM,Oklahoma City Thunder,106,Denver Nuggets,105,Box Score,,
"Sun, Apr 9, 2017",9:30 PM,Minnesota Timberwolves,109,Los Angeles Lakers,110,Box Score,,
"Sun, Apr 9, 2017",6:00 PM,Detroit Pistons,103,Memphis Grizzlies,90,Box Score,,
"Sun, Apr 9, 2017",12:00 PM,Toronto Raptors,110,New York Knicks,97,Box Score,,
"Sun, Apr 9, 2017",6:00 PM,Dallas Mavericks,111,Phoenix Suns,124,Box Score,,
"Sun, Apr 9, 2017",6:00 PM,Houston Rockets,135,Sacramento Kings,128,Box Score,,
"Mon, Apr 10, 2017",7:30 PM,Brooklyn Nets,105,Boston Celtics,114,Box Score,,
"Mon, Apr 10, 2017",8:00 PM,Orlando Magic,75,Chicago Bulls,122,Box Score,,
"Mon, Apr 10, 2017",8:00 PM,Washington Wizards,105,Detroit Pistons,101,Box Score,,
"Mon, Apr 10, 2017",10:30 PM,Utah Jazz,105,Golden State Warriors,99,Box Score,,
"Mon, Apr 10, 2017",10:30 PM,Houston Rockets,96,Los Angeles Clippers,125,Box Score,,
"Mon, Apr 10, 2017",7:30 PM,Cleveland Cavaliers,121,Miami Heat,124,Box Score,OT,
"Mon, Apr 10, 2017",8:00 PM,Charlotte Hornets,79,Milwaukee Bucks,89,Box Score,,
"Mon, Apr 10, 2017",7:00 PM,Indiana Pacers,120,Philadelphia 76ers,111,Box Score,,
"Mon, Apr 10, 2017",10:00 PM,San Antonio Spurs,98,Portland Trail Blazers,99,Box Score,,
"Tue, Apr 11, 2017",7:30 PM,Charlotte Hornets,76,Atlanta Hawks,103,Box Score,,
"Tue, Apr 11, 2017",8:30 PM,Denver Nuggets,109,Dallas Mavericks,91,Box Score,,
"Tue, Apr 11, 2017",10:30 PM,New Orleans Pelicans,96,Los Angeles Lakers,108,Box Score,,
"Tue, Apr 11, 2017",8:00 PM,Oklahoma City Thunder,100,Minnesota Timberwolves,98,Box Score,,
"Tue, Apr 11, 2017",10:30 PM,Phoenix Suns,104,Sacramento Kings,129,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Milwaukee Bucks,94,Boston Celtics,112,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Brooklyn Nets,73,Chicago Bulls,112,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Toronto Raptors,98,Cleveland Cavaliers,83,Box Score,,
"Wed, Apr 12, 2017",10:30 PM,Los Angeles Lakers,94,Golden State Warriors,109,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Minnesota Timberwolves,118,Houston Rockets,123,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Atlanta Hawks,86,Indiana Pacers,104,Box Score,,
"Wed, Apr 12, 2017",10:30 PM,Sacramento Kings,95,Los Angeles Clippers,115,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Dallas Mavericks,100,Memphis Grizzlies,93,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Washington Wizards,102,Miami Heat,110,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Philadelphia 76ers,113,New York Knicks,114,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Denver Nuggets,111,Oklahoma City Thunder,105,Box Score,,
"Wed, Apr 12, 2017",8:00 PM,Detroit Pistons,109,Orlando Magic,113,Box Score,,
"Wed, Apr 12, 2017",10:30 PM,New Orleans Pelicans,103,Portland Trail Blazers,100,Box Score,,
"Wed, Apr 12, 2017",9:00 PM,San Antonio Spurs,97,Utah Jazz,101,Box Score,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
