Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Wed, Feb 1, 2017",7:30 PM,Toronto Raptors,104,Boston Celtics,109,Box Score,,
"Wed, Feb 1, 2017",7:30 PM,New York Knicks,95,Brooklyn Nets,90,Box Score,,
"Wed, Feb 1, 2017",7:00 PM,Minnesota Timberwolves,97,Cleveland Cavaliers,125,Box Score,,
"Wed, Feb 1, 2017",8:30 PM,Philadelphia 76ers,95,Dallas Mavericks,113,Box Score,,
"Wed, Feb 1, 2017",9:00 PM,Memphis Grizzlies,119,Denver Nuggets,99,Box Score,,
"Wed, Feb 1, 2017",7:30 PM,New Orleans Pelicans,98,Detroit Pistons,118,Box Score,,
"Wed, Feb 1, 2017",10:30 PM,Charlotte Hornets,111,Golden State Warriors,126,Box Score,,
"Wed, Feb 1, 2017",7:30 PM,Atlanta Hawks,93,Miami Heat,116,Box Score,,
"Wed, Feb 1, 2017",9:30 PM,Chicago Bulls,128,Oklahoma City Thunder,100,Box Score,,
"Wed, Feb 1, 2017",7:00 PM,Indiana Pacers,98,Orlando Magic,88,Box Score,,
"Wed, Feb 1, 2017",9:00 PM,Los Angeles Clippers,124,Phoenix Suns,114,Box Score,,
"Wed, Feb 1, 2017",9:00 PM,Milwaukee Bucks,88,Utah Jazz,104,Box Score,,
"Thu, Feb 2, 2017",8:00 PM,Atlanta Hawks,113,Houston Rockets,108,Box Score,,
"Thu, Feb 2, 2017",10:30 PM,Golden State Warriors,133,Los Angeles Clippers,120,Box Score,,
"Thu, Feb 2, 2017",8:30 PM,Philadelphia 76ers,86,San Antonio Spurs,102,Box Score,,
"Thu, Feb 2, 2017",7:00 PM,Los Angeles Lakers,108,Washington Wizards,116,Box Score,,
"Fri, Feb 3, 2017",8:00 PM,Los Angeles Lakers,107,Boston Celtics,113,Box Score,,
"Fri, Feb 3, 2017",7:30 PM,Indiana Pacers,106,Brooklyn Nets,97,Box Score,,
"Fri, Feb 3, 2017",9:00 PM,Milwaukee Bucks,117,Denver Nuggets,121,Box Score,,
"Fri, Feb 3, 2017",7:30 PM,Minnesota Timberwolves,108,Detroit Pistons,116,Box Score,,
"Fri, Feb 3, 2017",8:00 PM,Chicago Bulls,117,Houston Rockets,121,Box Score,OT,
"Fri, Feb 3, 2017",8:00 PM,Memphis Grizzlies,102,Oklahoma City Thunder,114,Box Score,,
"Fri, Feb 3, 2017",7:00 PM,Toronto Raptors,94,Orlando Magic,102,Box Score,,
"Fri, Feb 3, 2017",10:30 PM,Dallas Mavericks,108,Portland Trail Blazers,104,Box Score,,
"Fri, Feb 3, 2017",10:30 PM,Phoenix Suns,105,Sacramento Kings,103,Box Score,,
"Sat, Feb 4, 2017",7:00 PM,Orlando Magic,86,Atlanta Hawks,113,Box Score,,
"Sat, Feb 4, 2017",7:00 PM,Detroit Pistons,84,Indiana Pacers,105,Box Score,,
"Sat, Feb 4, 2017",7:30 PM,Philadelphia 76ers,102,Miami Heat,125,Box Score,,
"Sat, Feb 4, 2017",9:00 PM,Memphis Grizzlies,107,Minnesota Timberwolves,99,Box Score,,
"Sat, Feb 4, 2017",8:30 PM,Cleveland Cavaliers,111,New York Knicks,104,Box Score,,
"Sat, Feb 4, 2017",9:00 PM,Milwaukee Bucks,137,Phoenix Suns,112,Box Score,,
"Sat, Feb 4, 2017",10:30 PM,Golden State Warriors,106,Sacramento Kings,109,Box Score,OT,
"Sat, Feb 4, 2017",9:00 PM,Denver Nuggets,97,San Antonio Spurs,121,Box Score,,
"Sat, Feb 4, 2017",9:00 PM,Charlotte Hornets,98,Utah Jazz,105,Box Score,,
"Sat, Feb 4, 2017",7:00 PM,New Orleans Pelicans,91,Washington Wizards,105,Box Score,,
"Sun, Feb 5, 2017",2:00 PM,Los Angeles Clippers,102,Boston Celtics,107,Box Score,,
"Sun, Feb 5, 2017",12:00 PM,Toronto Raptors,103,Brooklyn Nets,95,Box Score,,
"Sun, Feb 5, 2017",3:00 PM,Portland Trail Blazers,99,Oklahoma City Thunder,105,Box Score,,
"Mon, Feb 6, 2017",7:30 PM,Utah Jazz,120,Atlanta Hawks,95,Box Score,,
"Mon, Feb 6, 2017",9:00 PM,Dallas Mavericks,87,Denver Nuggets,110,Box Score,,
"Mon, Feb 6, 2017",7:30 PM,Philadelphia 76ers,96,Detroit Pistons,113,Box Score,,
"Mon, Feb 6, 2017",7:00 PM,Oklahoma City Thunder,90,Indiana Pacers,93,Box Score,,
"Mon, Feb 6, 2017",9:30 PM,San Antonio Spurs,74,Memphis Grizzlies,89,Box Score,,
"Mon, Feb 6, 2017",8:00 PM,Miami Heat,115,Minnesota Timberwolves,113,Box Score,,
"Mon, Feb 6, 2017",8:00 PM,Phoenix Suns,106,New Orleans Pelicans,111,Box Score,,
"Mon, Feb 6, 2017",7:00 PM,Los Angeles Lakers,121,New York Knicks,107,Box Score,,
"Mon, Feb 6, 2017",10:30 PM,Chicago Bulls,112,Sacramento Kings,107,Box Score,,
"Mon, Feb 6, 2017",7:30 PM,Los Angeles Clippers,109,Toronto Raptors,118,Box Score,,
"Mon, Feb 6, 2017",7:00 PM,Cleveland Cavaliers,140,Washington Wizards,135,Box Score,OT,
"Tue, Feb 7, 2017",7:00 PM,Brooklyn Nets,107,Charlotte Hornets,111,Box Score,,
"Tue, Feb 7, 2017",8:30 PM,Portland Trail Blazers,114,Dallas Mavericks,113,Box Score,,
"Tue, Feb 7, 2017",8:00 PM,Orlando Magic,104,Houston Rockets,128,Box Score,,
"Wed, Feb 8, 2017",7:30 PM,Denver Nuggets,106,Atlanta Hawks,117,Box Score,,
"Wed, Feb 8, 2017",7:30 PM,Washington Wizards,114,Brooklyn Nets,110,Box Score,OT,
"Wed, Feb 8, 2017",7:30 PM,Los Angeles Lakers,102,Detroit Pistons,121,Box Score,,
"Wed, Feb 8, 2017",10:30 PM,Chicago Bulls,92,Golden State Warriors,123,Box Score,,
"Wed, Feb 8, 2017",7:00 PM,Cleveland Cavaliers,132,Indiana Pacers,117,Box Score,,
"Wed, Feb 8, 2017",8:00 PM,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,
"Wed, Feb 8, 2017",8:00 PM,Miami Heat,106,Milwaukee Bucks,88,Box Score,,
"Wed, Feb 8, 2017",8:00 PM,Toronto Raptors,109,Minnesota Timberwolves,112,Box Score,,
"Wed, Feb 8, 2017",8:00 PM,Utah Jazz,127,New Orleans Pelicans,94,Box Score,,
"Wed, Feb 8, 2017",8:00 PM,Los Angeles Clippers,119,New York Knicks,115,Box Score,,
"Wed, Feb 8, 2017",7:00 PM,San Antonio Spurs,111,Philadelphia 76ers,103,Box Score,,
"Wed, Feb 8, 2017",10:30 PM,Boston Celtics,92,Sacramento Kings,108,Box Score,,
"Thu, Feb 9, 2017",7:00 PM,Houston Rockets,107,Charlotte Hornets,95,Box Score,,
"Thu, Feb 9, 2017",8:30 PM,Utah Jazz,105,Dallas Mavericks,112,Box Score,OT,
"Thu, Feb 9, 2017",8:00 PM,Cleveland Cavaliers,109,Oklahoma City Thunder,118,Box Score,,
"Thu, Feb 9, 2017",7:00 PM,Philadelphia 76ers,112,Orlando Magic,111,Box Score,,
"Thu, Feb 9, 2017",10:30 PM,Boston Celtics,120,Portland Trail Blazers,111,Box Score,,
"Fri, Feb 10, 2017",7:30 PM,Miami Heat,108,Brooklyn Nets,99,Box Score,,
"Fri, Feb 10, 2017",7:30 PM,San Antonio Spurs,103,Detroit Pistons,92,Box Score,,
