Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Mon, Jan 9, 2017",8:00 PM,Oklahoma City Thunder,109,Chicago Bulls,94,Box Score,,
"Mon, Jan 9, 2017",8:00 PM,Dallas Mavericks,92,Minnesota Timberwolves,101,Box Score,,
"Mon, Jan 9, 2017",7:30 PM,New Orleans Pelicans,110,New York Knicks,96,Box Score,,
"Tue, Jan 10, 2017",7:30 PM,Atlanta Hawks,117,Brooklyn Nets,97,Box Score,,
"Tue, Jan 10, 2017",10:30 PM,Miami Heat,95,Golden State Warriors,107,Box Score,,
"Tue, Jan 10, 2017",8:00 PM,Charlotte Hornets,114,Houston Rockets,121,Box Score,,
"Tue, Jan 10, 2017",10:30 PM,Portland Trail Blazers,108,Los Angeles Lakers,87,Box Score,,
"Tue, Jan 10, 2017",10:30 PM,Detroit Pistons,94,Sacramento Kings,100,Box Score,,
"Tue, Jan 10, 2017",8:30 PM,Milwaukee Bucks,109,San Antonio Spurs,107,Box Score,,
"Tue, Jan 10, 2017",7:30 PM,Boston Celtics,106,Toronto Raptors,114,Box Score,,
"Tue, Jan 10, 2017",9:00 PM,Cleveland Cavaliers,92,Utah Jazz,100,Box Score,,
"Tue, Jan 10, 2017",7:00 PM,Chicago Bulls,99,Washington Wizards,101,Box Score,,
"Wed, Jan 11, 2017",8:00 PM,Washington Wizards,108,Boston Celtics,117,Box Score,,
"Wed, Jan 11, 2017",10:30 PM,Orlando Magic,96,Los Angeles Clippers,105,Box Score,,
"Wed, Jan 11, 2017",8:00 PM,Houston Rockets,105,Minnesota Timberwolves,119,Box Score,,
"Wed, Jan 11, 2017",8:00 PM,Memphis Grizzlies,95,Oklahoma City Thunder,103,Box Score,,
"Wed, Jan 11, 2017",7:00 PM,New York Knicks,97,Philadelphia 76ers,98,Box Score,,
"Wed, Jan 11, 2017",10:30 PM,Cleveland Cavaliers,86,Portland Trail Blazers,102,Box Score,,
"Thu, Jan 12, 2017",7:30 PM,New Orleans Pelicans,104,Brooklyn Nets,95,Box Score,,
