Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Wed, Mar 1, 2017",7:30 PM,Dallas Mavericks,95,Atlanta Hawks,100,Box Score,,
"Wed, Mar 1, 2017",8:00 PM,Cleveland Cavaliers,99,Boston Celtics,103,Box Score,,
"Wed, Mar 1, 2017",10:30 PM,Houston Rockets,122,Los Angeles Clippers,103,Box Score,,
"Wed, Mar 1, 2017",7:30 PM,Philadelphia 76ers,98,Miami Heat,125,Box Score,,
"Wed, Mar 1, 2017",8:00 PM,Denver Nuggets,110,Milwaukee Bucks,98,Box Score,,
"Wed, Mar 1, 2017",8:00 PM,Detroit Pistons,86,New Orleans Pelicans,109,Box Score,,
"Wed, Mar 1, 2017",7:00 PM,New York Knicks,101,Orlando Magic,90,Box Score,,
"Wed, Mar 1, 2017",10:30 PM,Brooklyn Nets,109,Sacramento Kings,100,Box Score,,
"Wed, Mar 1, 2017",8:30 PM,Indiana Pacers,99,San Antonio Spurs,100,Box Score,,
"Wed, Mar 1, 2017",7:30 PM,Washington Wizards,105,Toronto Raptors,96,Box Score,,
"Wed, Mar 1, 2017",9:00 PM,Minnesota Timberwolves,107,Utah Jazz,80,Box Score,,
"Thu, Mar 2, 2017",8:00 PM,Golden State Warriors,87,Chicago Bulls,94,Box Score,,
"Thu, Mar 2, 2017",9:00 PM,Charlotte Hornets,103,Phoenix Suns,120,Box Score,,
"Thu, Mar 2, 2017",10:30 PM,Oklahoma City Thunder,109,Portland Trail Blazers,114,Box Score,,
"Fri, Mar 3, 2017",7:00 PM,Cleveland Cavaliers,135,Atlanta Hawks,130,Box Score,,
"Fri, Mar 3, 2017",8:30 PM,Memphis Grizzlies,100,Dallas Mavericks,104,Box Score,,
"Fri, Mar 3, 2017",10:30 PM,Boston Celtics,115,Los Angeles Lakers,95,Box Score,,
"Fri, Mar 3, 2017",8:00 PM,Los Angeles Clippers,101,Milwaukee Bucks,112,Box Score,,
"Fri, Mar 3, 2017",9:30 PM,San Antonio Spurs,101,New Orleans Pelicans,98,Box Score,OT,
"Fri, Mar 3, 2017",7:00 PM,Miami Heat,99,Orlando Magic,110,Box Score,,
"Fri, Mar 3, 2017",7:00 PM,New York Knicks,102,Philadelphia 76ers,105,Box Score,,
"Fri, Mar 3, 2017",9:00 PM,Oklahoma City Thunder,111,Phoenix Suns,118,Box Score,,
