Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Tue, Nov 1, 2016",6:00 PM,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,
"Tue, Nov 1, 2016",7:30 PM,New York Knicks,89,Detroit Pistons,102,Box Score,,
"Tue, Nov 1, 2016",7:00 PM,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,
"Tue, Nov 1, 2016",7:30 PM,Sacramento Kings,96,Miami Heat,108,Box Score,OT,
"Tue, Nov 1, 2016",8:00 PM,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,
"Tue, Nov 1, 2016",8:00 PM,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,
"Tue, Nov 1, 2016",7:00 PM,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,
"Tue, Nov 1, 2016",10:00 PM,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,
"Tue, Nov 1, 2016",8:30 PM,Utah Jazz,106,San Antonio Spurs,91,Box Score,,
"Wed, Nov 2, 2016",7:30 PM,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,
"Wed, Nov 2, 2016",8:00 PM,Chicago Bulls,100,Boston Celtics,107,Box Score,,
"Wed, Nov 2, 2016",7:30 PM,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,
"Wed, Nov 2, 2016",7:00 PM,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,
"Wed, Nov 2, 2016",10:30 PM,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,
"Wed, Nov 2, 2016",8:00 PM,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,
"Wed, Nov 2, 2016",7:30 PM,Houston Rockets,118,New York Knicks,99,Box Score,,
"Wed, Nov 2, 2016",10:00 PM,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,
"Wed, Nov 2, 2016",9:00 PM,Dallas Mavericks,81,Utah Jazz,97,Box Score,,
"Wed, Nov 2, 2016",7:00 PM,Toronto Raptors,113,Washington Wizards,103,Box Score,,
"Thu, Nov 3, 2016",8:00 PM,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,
"Thu, Nov 3, 2016",10:30 PM,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,
"Thu, Nov 3, 2016",8:00 PM,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,
"Thu, Nov 3, 2016",8:00 PM,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,
"Thu, Nov 3, 2016",7:00 PM,Sacramento Kings,94,Orlando Magic,102,Box Score,,
"Fri, Nov 4, 2016",7:30 PM,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,
"Fri, Nov 4, 2016",8:00 PM,New York Knicks,117,Chicago Bulls,104,Box Score,,
"Fri, Nov 4, 2016",8:30 PM,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,
"Fri, Nov 4, 2016",10:30 PM,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,
"Fri, Nov 4, 2016",8:00 PM,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,
"Fri, Nov 4, 2016",8:00 PM,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,
"Fri, Nov 4, 2016",7:30 PM,Miami Heat,87,Toronto Raptors,96,Box Score,,
"Fri, Nov 4, 2016",9:00 PM,San Antonio Spurs,100,Utah Jazz,86,Box Score,,
"Fri, Nov 4, 2016",7:00 PM,Atlanta Hawks,92,Washington Wizards,95,Box Score,,
"Sat, Nov 5, 2016",7:30 PM,Houston Rockets,97,Atlanta Hawks,112,Box Score,,
"Sat, Nov 5, 2016",7:00 PM,Denver Nuggets,86,Detroit Pistons,103,Box Score,,
"Sat, Nov 5, 2016",7:00 PM,Chicago Bulls,94,Indiana Pacers,111,Box Score,,
"Sat, Nov 5, 2016",8:00 PM,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,
"Sat, Nov 5, 2016",6:00 PM,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,
"Sat, Nov 5, 2016",7:00 PM,Washington Wizards,86,Orlando Magic,88,Box Score,,
"Sat, Nov 5, 2016",7:00 PM,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,
"Sat, Nov 5, 2016",8:30 PM,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,
"Sun, Nov 6, 2016",7:30 PM,Denver Nuggets,123,Boston Celtics,107,Box Score,,
"Sun, Nov 6, 2016",7:00 PM,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,
"Sun, Nov 6, 2016",9:30 PM,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,
"Sun, Nov 6, 2016",3:30 PM,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,
"Sun, Nov 6, 2016",12:00 PM,Utah Jazz,114,New York Knicks,109,Box Score,,
"Sun, Nov 6, 2016",6:00 PM,Sacramento Kings,96,Toronto Raptors,91,Box Score,,
"Mon, Nov 7, 2016",8:00 PM,Orlando Magic,80,Chicago Bulls,112,Box Score,,
"Mon, Nov 7, 2016",7:00 PM,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,
"Mon, Nov 7, 2016",10:30 PM,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,
"Mon, Nov 7, 2016",10:30 PM,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,
"Mon, Nov 7, 2016",8:00 PM,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,
"Mon, Nov 7, 2016",7:00 PM,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,
"Mon, Nov 7, 2016",7:00 PM,Houston Rockets,114,Washington Wizards,106,Box Score,,
"Tue, Nov 8, 2016",7:30 PM,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,
"Tue, Nov 8, 2016",7:00 PM,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,
"Tue, Nov 8, 2016",10:30 PM,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,
"Tue, Nov 8, 2016",8:00 PM,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,
"Tue, Nov 8, 2016",10:00 PM,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,
"Tue, Nov 8, 2016",10:30 PM,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,
"Wed, Nov 9, 2016",7:30 PM,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,
"Wed, Nov 9, 2016",7:00 PM,Utah Jazz,98,Charlotte Hornets,104,Box Score,,
"Wed, Nov 9, 2016",10:30 PM,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,
"Wed, Nov 9, 2016",7:00 PM,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,
"Wed, Nov 9, 2016",10:30 PM,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,
"Wed, Nov 9, 2016",7:00 PM,Brooklyn Nets,96,New York Knicks,110,Box Score,,
"Wed, Nov 9, 2016",8:00 PM,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,
"Wed, Nov 9, 2016",7:00 PM,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,
"Wed, Nov 9, 2016",9:00 PM,Detroit Pistons,100,Phoenix Suns,107,Box Score,,
"Wed, Nov 9, 2016",9:30 PM,Houston Rockets,101,San Antonio Spurs,99,Box Score,,
"Wed, Nov 9, 2016",7:00 PM,Boston Celtics,93,Washington Wizards,118,Box Score,,
"Thu, Nov 10, 2016",9:00 PM,Golden State Warriors,125,Denver Nuggets,101,Box Score,,
"Thu, Nov 10, 2016",8:00 PM,Chicago Bulls,98,Miami Heat,95,Box Score,,
"Thu, Nov 10, 2016",8:00 PM,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,
"Thu, Nov 10, 2016",10:30 PM,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,
"Fri, Nov 11, 2016",7:30 PM,New York Knicks,87,Boston Celtics,115,Box Score,,
"Fri, Nov 11, 2016",7:00 PM,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,
"Fri, Nov 11, 2016",8:00 PM,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,
"Fri, Nov 11, 2016",7:00 PM,Utah Jazz,87,Orlando Magic,74,Box Score,,
"Fri, Nov 11, 2016",7:00 PM,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,
"Fri, Nov 11, 2016",10:00 PM,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,
"Fri, Nov 11, 2016",8:30 PM,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,
"Fri, Nov 11, 2016",7:00 PM,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,
"Sat, Nov 12, 2016",7:30 PM,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,,
"Sat, Nov 12, 2016",8:00 PM,Washington Wizards,95,Chicago Bulls,106,Box Score,,
"Sat, Nov 12, 2016",9:00 PM,Detroit Pistons,106,Denver Nuggets,95,Box Score,,
"Sat, Nov 12, 2016",8:00 PM,San Antonio Spurs,106,Houston Rockets,100,Box Score,,
"Sat, Nov 12, 2016",7:00 PM,Boston Celtics,105,Indiana Pacers,99,Box Score,,
"Sat, Nov 12, 2016",8:00 PM,Utah Jazz,102,Miami Heat,91,Box Score,,
"Sat, Nov 12, 2016",8:30 PM,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,,
"Sat, Nov 12, 2016",8:00 PM,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,,
"Sat, Nov 12, 2016",7:00 PM,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,,
"Sat, Nov 12, 2016",9:00 PM,Brooklyn Nets,122,Phoenix Suns,104,Box Score,,
"Sat, Nov 12, 2016",7:30 PM,New York Knicks,107,Toronto Raptors,118,Box Score,,
"Sun, Nov 13, 2016",3:30 PM,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,,
"Sun, Nov 13, 2016",8:00 PM,Phoenix Suns,120,Golden State Warriors,133,Box Score,,
"Sun, Nov 13, 2016",7:00 PM,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,,
"Sun, Nov 13, 2016",7:00 PM,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,,
"Sun, Nov 13, 2016",9:00 PM,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,,
"Mon, Nov 14, 2016",7:30 PM,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,,
"Mon, Nov 14, 2016",8:00 PM,Philadelphia 76ers,88,Houston Rockets,115,Box Score,,
"Mon, Nov 14, 2016",7:00 PM,Orlando Magic,69,Indiana Pacers,88,Box Score,,
"Mon, Nov 14, 2016",10:30 PM,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,,
"Mon, Nov 14, 2016",8:00 PM,Boston Celtics,105,New Orleans Pelicans,106,Box Score,,
"Mon, Nov 14, 2016",7:30 PM,Dallas Mavericks,77,New York Knicks,93,Box Score,,
"Mon, Nov 14, 2016",8:30 PM,Miami Heat,90,San Antonio Spurs,94,Box Score,,
"Mon, Nov 14, 2016",9:00 PM,Memphis Grizzlies,102,Utah Jazz,96,Box Score,,
"Tue, Nov 15, 2016",7:00 PM,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,,
"Tue, Nov 15, 2016",10:30 PM,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,,
"Tue, Nov 15, 2016",7:30 PM,Atlanta Hawks,93,Miami Heat,90,Box Score,,
"Tue, Nov 15, 2016",8:00 PM,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,
"Tue, Nov 15, 2016",10:00 PM,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,,
