Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Wed, Nov 16, 2016",7:30 PM,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,,
"Wed, Nov 16, 2016",7:30 PM,Dallas Mavericks,83,Boston Celtics,90,Box Score,,
"Wed, Nov 16, 2016",9:00 PM,Phoenix Suns,104,Denver Nuggets,120,Box Score,,
"Wed, Nov 16, 2016",7:00 PM,Cleveland Cavaliers,93,Indiana Pacers,103,Box Score,,
"Wed, Nov 16, 2016",10:30 PM,Memphis Grizzlies,111,Los Angeles Clippers,107,Box Score,,
"Wed, Nov 16, 2016",7:30 PM,Detroit Pistons,102,New York Knicks,105,Box Score,,
"Wed, Nov 16, 2016",8:00 PM,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,,
"Wed, Nov 16, 2016",7:00 PM,New Orleans Pelicans,82,Orlando Magic,89,Box Score,,
"Wed, Nov 16, 2016",7:00 PM,Washington Wizards,102,Philadelphia 76ers,109,Box Score,,
"Wed, Nov 16, 2016",10:30 PM,San Antonio Spurs,110,Sacramento Kings,105,Box Score,,
"Wed, Nov 16, 2016",8:00 PM,Golden State Warriors,127,Toronto Raptors,121,Box Score,,
"Thu, Nov 17, 2016",8:00 PM,Portland Trail Blazers,109,Houston Rockets,126,Box Score,,
"Thu, Nov 17, 2016",7:30 PM,Milwaukee Bucks,73,Miami Heat,96,Box Score,,
"Thu, Nov 17, 2016",8:00 PM,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,,
"Thu, Nov 17, 2016",10:30 PM,Chicago Bulls,85,Utah Jazz,77,Box Score,,
"Thu, Nov 17, 2016",7:00 PM,New York Knicks,112,Washington Wizards,119,Box Score,,
"Fri, Nov 18, 2016",8:00 PM,Golden State Warriors,104,Boston Celtics,88,Box Score,,
"Fri, Nov 18, 2016",7:00 PM,Atlanta Hawks,96,Charlotte Hornets,100,Box Score,,
"Fri, Nov 18, 2016",7:30 PM,Detroit Pistons,81,Cleveland Cavaliers,104,Box Score,,
"Fri, Nov 18, 2016",8:30 PM,Memphis Grizzlies,80,Dallas Mavericks,64,Box Score,,
"Fri, Nov 18, 2016",9:00 PM,Toronto Raptors,113,Denver Nuggets,111,Box Score,OT,
"Fri, Nov 18, 2016",7:00 PM,Phoenix Suns,116,Indiana Pacers,96,Box Score,,
"Fri, Nov 18, 2016",10:30 PM,San Antonio Spurs,116,Los Angeles Lakers,107,Box Score,,
"Fri, Nov 18, 2016",8:00 PM,Portland Trail Blazers,101,New Orleans Pelicans,113,Box Score,,
"Fri, Nov 18, 2016",8:00 PM,Brooklyn Nets,105,Oklahoma City Thunder,124,Box Score,,
"Fri, Nov 18, 2016",10:30 PM,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,,
"Sat, Nov 19, 2016",7:00 PM,Boston Celtics,94,Detroit Pistons,92,Box Score,,
"Sat, Nov 19, 2016",5:00 PM,Utah Jazz,102,Houston Rockets,111,Box Score,,
"Sat, Nov 19, 2016",10:30 PM,Chicago Bulls,95,Los Angeles Clippers,102,Box Score,,
"Sat, Nov 19, 2016",8:00 PM,Minnesota Timberwolves,71,Memphis Grizzlies,93,Box Score,,
"Sat, Nov 19, 2016",8:30 PM,Golden State Warriors,124,Milwaukee Bucks,121,Box Score,,
"Sat, Nov 19, 2016",7:00 PM,Charlotte Hornets,116,New Orleans Pelicans,121,Box Score,OT,
"Sat, Nov 19, 2016",7:00 PM,Dallas Mavericks,87,Orlando Magic,95,Box Score,,
"Sat, Nov 19, 2016",7:30 PM,Phoenix Suns,105,Philadelphia 76ers,120,Box Score,,
"Sat, Nov 19, 2016",7:00 PM,Miami Heat,114,Washington Wizards,111,Box Score,,
"Sun, Nov 20, 2016",3:30 PM,Portland Trail Blazers,129,Brooklyn Nets,109,Box Score,,
"Sun, Nov 20, 2016",9:00 PM,Utah Jazz,91,Denver Nuggets,105,Box Score,,
"Sun, Nov 20, 2016",9:30 PM,Chicago Bulls,118,Los Angeles Lakers,110,Box Score,,
"Sun, Nov 20, 2016",12:00 PM,Atlanta Hawks,94,New York Knicks,104,Box Score,,
"Sun, Nov 20, 2016",7:00 PM,Indiana Pacers,115,Oklahoma City Thunder,111,Box Score,OT,
"Sun, Nov 20, 2016",9:00 PM,Toronto Raptors,99,Sacramento Kings,102,Box Score,,
"Mon, Nov 21, 2016",7:00 PM,Memphis Grizzlies,105,Charlotte Hornets,90,Box Score,,
"Mon, Nov 21, 2016",7:30 PM,Houston Rockets,99,Detroit Pistons,96,Box Score,,
"Mon, Nov 21, 2016",7:00 PM,Golden State Warriors,120,Indiana Pacers,83,Box Score,,
"Mon, Nov 21, 2016",10:30 PM,Toronto Raptors,115,Los Angeles Clippers,123,Box Score,,
"Mon, Nov 21, 2016",8:00 PM,Orlando Magic,89,Milwaukee Bucks,93,Box Score,,
"Mon, Nov 21, 2016",8:00 PM,Boston Celtics,99,Minnesota Timberwolves,93,Box Score,,
"Mon, Nov 21, 2016",7:00 PM,Miami Heat,94,Philadelphia 76ers,101,Box Score,,
"Mon, Nov 21, 2016",8:30 PM,Dallas Mavericks,91,San Antonio Spurs,96,Box Score,,
"Mon, Nov 21, 2016",7:00 PM,Phoenix Suns,101,Washington Wizards,106,Box Score,,
"Tue, Nov 22, 2016",7:30 PM,New Orleans Pelicans,112,Atlanta Hawks,94,Box Score,,
"Tue, Nov 22, 2016",9:00 PM,Chicago Bulls,107,Denver Nuggets,110,Box Score,,
"Tue, Nov 22, 2016",10:30 PM,Oklahoma City Thunder,109,Los Angeles Lakers,111,Box Score,,
"Tue, Nov 22, 2016",7:30 PM,Portland Trail Blazers,103,New York Knicks,107,Box Score,,
"Wed, Nov 23, 2016",7:30 PM,Boston Celtics,111,Brooklyn Nets,92,Box Score,,
"Wed, Nov 23, 2016",7:00 PM,San Antonio Spurs,119,Charlotte Hornets,114,Box Score,,
"Wed, Nov 23, 2016",7:00 PM,Portland Trail Blazers,125,Cleveland Cavaliers,137,Box Score,,
"Wed, Nov 23, 2016",8:30 PM,Los Angeles Clippers,124,Dallas Mavericks,104,Box Score,,
"Wed, Nov 23, 2016",7:30 PM,Miami Heat,84,Detroit Pistons,107,Box Score,,
"Wed, Nov 23, 2016",10:30 PM,Los Angeles Lakers,106,Golden State Warriors,149,Box Score,,
"Wed, Nov 23, 2016",8:00 PM,Toronto Raptors,115,Houston Rockets,102,Box Score,,
"Wed, Nov 23, 2016",7:00 PM,Atlanta Hawks,96,Indiana Pacers,85,Box Score,,
"Wed, Nov 23, 2016",9:30 PM,Minnesota Timberwolves,96,New Orleans Pelicans,117,Box Score,,
"Wed, Nov 23, 2016",7:00 PM,Phoenix Suns,92,Orlando Magic,87,Box Score,,
"Wed, Nov 23, 2016",7:00 PM,Memphis Grizzlies,104,Philadelphia 76ers,99,Box Score,2OT,
"Wed, Nov 23, 2016",10:30 PM,Oklahoma City Thunder,101,Sacramento Kings,116,Box Score,,
"Wed, Nov 23, 2016",9:00 PM,Denver Nuggets,83,Utah Jazz,108,Box Score,,
"Fri, Nov 25, 2016",1:00 PM,San Antonio Spurs,109,Boston Celtics,103,Box Score,,
"Fri, Nov 25, 2016",7:30 PM,Dallas Mavericks,90,Cleveland Cavaliers,128,Box Score,,
"Fri, Nov 25, 2016",9:00 PM,Oklahoma City Thunder,132,Denver Nuggets,129,Box Score,OT,
"Fri, Nov 25, 2016",7:30 PM,Los Angeles Clippers,97,Detroit Pistons,108,Box Score,,
"Fri, Nov 25, 2016",8:00 PM,Brooklyn Nets,97,Indiana Pacers,118,Box Score,,
"Fri, Nov 25, 2016",10:30 PM,Golden State Warriors,109,Los Angeles Lakers,85,Box Score,,
"Fri, Nov 25, 2016",8:00 PM,Miami Heat,90,Memphis Grizzlies,81,Box Score,,
"Fri, Nov 25, 2016",8:00 PM,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,,
"Fri, Nov 25, 2016",7:30 PM,Charlotte Hornets,111,New York Knicks,113,Box Score,OT,
"Fri, Nov 25, 2016",7:00 PM,Washington Wizards,94,Orlando Magic,91,Box Score,,
"Fri, Nov 25, 2016",7:30 PM,Chicago Bulls,105,Philadelphia 76ers,89,Box Score,,
"Fri, Nov 25, 2016",9:00 PM,Minnesota Timberwolves,98,Phoenix Suns,85,Box Score,,
"Fri, Nov 25, 2016",10:00 PM,New Orleans Pelicans,104,Portland Trail Blazers,119,Box Score,,
"Fri, Nov 25, 2016",10:30 PM,Houston Rockets,117,Sacramento Kings,104,Box Score,,
"Fri, Nov 25, 2016",8:00 PM,Atlanta Hawks,68,Utah Jazz,95,Box Score,,
"Sat, Nov 26, 2016",7:00 PM,New York Knicks,102,Charlotte Hornets,107,Box Score,,
"Sat, Nov 26, 2016",10:30 PM,Minnesota Timberwolves,102,Golden State Warriors,115,Box Score,,
"Sat, Nov 26, 2016",8:00 PM,Memphis Grizzlies,110,Miami Heat,107,Box Score,,
"Sat, Nov 26, 2016",8:00 PM,Detroit Pistons,88,Oklahoma City Thunder,106,Box Score,,
"Sat, Nov 26, 2016",7:00 PM,San Antonio Spurs,112,Washington Wizards,100,Box Score,,
"Sun, Nov 27, 2016",6:00 PM,Sacramento Kings,122,Brooklyn Nets,105,Box Score,,
"Sun, Nov 27, 2016",7:00 PM,New Orleans Pelicans,81,Dallas Mavericks,91,Box Score,,
"Sun, Nov 27, 2016",6:00 PM,Los Angeles Clippers,70,Indiana Pacers,91,Box Score,,
"Sun, Nov 27, 2016",9:30 PM,Atlanta Hawks,94,Los Angeles Lakers,109,Box Score,,
"Sun, Nov 27, 2016",6:00 PM,Milwaukee Bucks,104,Orlando Magic,96,Box Score,,
"Sun, Nov 27, 2016",1:00 PM,Cleveland Cavaliers,112,Philadelphia 76ers,108,Box Score,,
"Sun, Nov 27, 2016",3:30 PM,Denver Nuggets,120,Phoenix Suns,114,Box Score,,
"Sun, Nov 27, 2016",9:00 PM,Houston Rockets,130,Portland Trail Blazers,114,Box Score,,
"Mon, Nov 28, 2016",10:30 PM,Atlanta Hawks,100,Golden State Warriors,105,Box Score,,
"Mon, Nov 28, 2016",8:00 PM,Charlotte Hornets,104,Memphis Grizzlies,85,Box Score,,
"Mon, Nov 28, 2016",7:30 PM,Boston Celtics,112,Miami Heat,104,Box Score,,
"Mon, Nov 28, 2016",8:00 PM,Utah Jazz,112,Minnesota Timberwolves,103,Box Score,,
"Mon, Nov 28, 2016",7:30 PM,Oklahoma City Thunder,112,New York Knicks,103,Box Score,,
"Mon, Nov 28, 2016",7:30 PM,Philadelphia 76ers,95,Toronto Raptors,122,Box Score,,
"Mon, Nov 28, 2016",7:00 PM,Sacramento Kings,95,Washington Wizards,101,Box Score,OT,
"Tue, Nov 29, 2016",7:30 PM,Los Angeles Clippers,122,Brooklyn Nets,127,Box Score,2OT,
"Tue, Nov 29, 2016",7:00 PM,Detroit Pistons,112,Charlotte Hornets,89,Box Score,,
"Tue, Nov 29, 2016",8:00 PM,Cleveland Cavaliers,101,Milwaukee Bucks,118,Box Score,,
"Tue, Nov 29, 2016",8:00 PM,Los Angeles Lakers,88,New Orleans Pelicans,105,Box Score,,
"Tue, Nov 29, 2016",8:30 PM,Orlando Magic,95,San Antonio Spurs,83,Box Score,,
"Tue, Nov 29, 2016",9:00 PM,Houston Rockets,101,Utah Jazz,120,Box Score,,
"Wed, Nov 30, 2016",7:30 PM,Detroit Pistons,121,Boston Celtics,114,Box Score,,
"Wed, Nov 30, 2016",8:00 PM,Los Angeles Lakers,96,Chicago Bulls,90,Box Score,,
"Wed, Nov 30, 2016",8:30 PM,San Antonio Spurs,94,Dallas Mavericks,87,Box Score,,
"Wed, Nov 30, 2016",9:00 PM,Miami Heat,106,Denver Nuggets,98,Box Score,,
"Wed, Nov 30, 2016",8:00 PM,New York Knicks,106,Minnesota Timberwolves,104,Box Score,,
"Wed, Nov 30, 2016",8:00 PM,Washington Wizards,115,Oklahoma City Thunder,126,Box Score,OT,
"Wed, Nov 30, 2016",9:00 PM,Atlanta Hawks,107,Phoenix Suns,109,Box Score,,
"Wed, Nov 30, 2016",10:00 PM,Indiana Pacers,109,Portland Trail Blazers,131,Box Score,,
"Wed, Nov 30, 2016",7:30 PM,Memphis Grizzlies,105,Toronto Raptors,120,Box Score,,
